iter	Passed	Remaining
888	3264	407
889	3265	403
890	3267	399
891	3269	395
892	3271	391
893	3277	388
894	3279	384
895	3280	380
896	3281	376
897	3283	372
898	3284	369
899	3285	365
900	3293	361
901	3295	358
902	3296	354
903	3298	350
904	3301	346
905	3308	343
906	3310	339
907	3311	335
908	3312	331
909	3314	327
910	3315	323
911	3322	320
912	3324	316
913	3325	312
914	3327	309
915	3329	305
916	3330	301
917	3339	298
918	3341	294
919	3342	290
920	3344	286
921	3346	283
922	3355	279
923	3358	276
924	3361	272
925	3367	269
926	3370	265
927	3372	261
928	3373	257
929	3375	254
930	3377	250
931	3379	246
932	3381	242
933	3383	239
934	3384	235
935	3392	231
936	3395	228
937	3396	224
938	3398	220
939	3406	217
940	3408	213
941	3410	209
942	3412	206
943	3413	202
944	3415	198
945	3423	195
946	3425	191
947	3426	187
948	3428	184
949	3429	180
950	3439	177
951	3440	173
952	3442	169
953	3444	166
954	3445	162
955	3453	158
956	3455	155
957	3457	151
958	3460	147
959	3468	144
960	3470	140
961	3471	137
962	3473	133
963	3474	129
964	3476	126
965	3478	122
966	3479	118
967	3481	115
968	3483	111
969	3484	107
970	3494	104
971	3496	100
972	3497	97
973	3499	93
974	3500	89
975	3508	86
976	3510	82
977	3511	78
978	3513	75
979	3514	71
980	3526	68
981	3529	64
982	3531	61
983	3537	57
984	3540	53
985	3542	50
986	3544	46
987	3546	43
988	3553	39
989	3555	35
990	3556	32
991	3557	28
992	3559	25
993	3560	21
994	3562	17
995	3564	14
996	3565	10
997	3567	7
998	3568	3
999	3569	0
